# r  chi  chi_prime  a  a_prime  rho  W
1.000000000000e-04 -1.483956463855e-07 -1.571136271645e-26 0.000000000000e+00 0.000000000000e+00 9.999999700000e-06 1.007090887028e+152
6.002001000500e-04 -1.483955371700e-07 3.982625930169e-10 0.000000000000e+00 0.000000000000e+00 9.999989192799e-06 1.007090887028e+152
1.100400200100e-03 -1.483952541454e-07 7.330112941414e-10 0.000000000000e+00 0.000000000000e+00 9.999963673626e-06 1.007090887028e+152
1.600600300150e-03 -1.483948040120e-07 1.066748350851e-09 0.000000000000e+00 0.000000000000e+00 9.999923142557e-06 1.007090887028e+152
2.100800400200e-03 -1.483941869990e-07 1.400301355740e-09 0.000000000000e+00 0.000000000000e+00 9.999867599715e-06 1.007090887028e+152
2.601000500250e-03 -1.483934031600e-07 1.733793926863e-09 0.000000000000e+00 0.000000000000e+00 9.999797045265e-06 1.007090887028e+152
3.101200600300e-03 -1.483924525158e-07 2.067258525659e-09 0.000000000000e+00 0.000000000000e+00 9.999711479420e-06 1.007090887028e+152
3.601400700350e-03 -1.483913350770e-07 2.400706231632e-09 0.000000000000e+00 0.000000000000e+00 9.999610902437e-06 1.007090887028e+152
4.101600800400e-03 -1.483900508509e-07 2.734141304559e-09 0.000000000000e+00 0.000000000000e+00 9.999495314617e-06 1.007090887028e+152
4.601800900450e-03 -1.483885998433e-07 3.067565363462e-09 0.000000000000e+00 0.000000000000e+00 9.999364716308e-06 1.007090887028e+152
5.102001000500e-03 -1.483869820596e-07 3.400978856626e-09 0.000000000000e+00 0.000000000000e+00 9.999219107901e-06 1.007090887028e+152
5.602201100550e-03 -1.483851975051e-07 3.734381658473e-09 0.000000000000e+00 0.000000000000e+00 9.999058489834e-06 1.007090887028e+152
6.102401200600e-03 -1.483832461853e-07 4.067773339388e-09 0.000000000000e+00 0.000000000000e+00 9.998882862590e-06 1.007090887028e+152
6.602601300650e-03 -1.483811281058e-07 4.401153298359e-09 0.000000000000e+00 0.000000000000e+00 9.998692226695e-06 1.007090887028e+152
7.102801400700e-03 -1.483788432727e-07 4.734520832707e-09 0.000000000000e+00 0.000000000000e+00 9.998486582722e-06 1.007090887028e+152
7.603001500750e-03 -1.483763916924e-07 5.067875176848e-09 0.000000000000e+00 0.000000000000e+00 9.998265931288e-06 1.007090887028e+152
8.103201600800e-03 -1.483737733717e-07 5.401215524851e-09 0.000000000000e+00 0.000000000000e+00 9.998030273056e-06 1.007090887028e+152
8.603401700850e-03 -1.483709883178e-07 5.734541044103e-09 0.000000000000e+00 0.000000000000e+00 9.997779608733e-06 1.007090887028e+152
9.103601800900e-03 -1.483680365383e-07 6.067850883875e-09 0.000000000000e+00 0.000000000000e+00 9.997513939073e-06 1.007090887028e+152
9.603801900950e-03 -1.483649180413e-07 6.401144180844e-09 0.000000000000e+00 0.000000000000e+00 9.997233264871e-06 1.007090887028e+152
1.010400200100e-02 -1.483616328353e-07 6.734420062760e-09 0.000000000000e+00 0.000000000000e+00 9.996937586973e-06 1.007090887028e+152
1.060420210105e-02 -1.483581809292e-07 7.067677650930e-09 0.000000000000e+00 0.000000000000e+00 9.996626906264e-06 1.007090887028e+152
1.110440220110e-02 -1.483545623324e-07 7.400916061938e-09 0.000000000000e+00 0.000000000000e+00 9.996301223678e-06 1.007090887028e+152
1.160460230115e-02 -1.483507770546e-07 7.734134408857e-09 0.000000000000e+00 0.000000000000e+00 9.995960540193e-06 1.007090887028e+152
1.210480240120e-02 -1.483468251062e-07 8.067331802125e-09 0.000000000000e+00 0.000000000000e+00 9.995604856832e-06 1.007090887028e+152
1.260500250125e-02 -1.483427064979e-07 8.400507350174e-09 0.000000000000e+00 0.000000000000e+00 9.995234174662e-06 1.007090887028e+152
1.310520260130e-02 -1.483384212408e-07 8.733660159905e-09 0.000000000000e+00 0.000000000000e+00 9.994848494797e-06 1.007090887028e+152
1.360540270135e-02 -1.483339693465e-07 9.066789337037e-09 0.000000000000e+00 0.000000000000e+00 9.994447818394e-06 1.007090887028e+152
1.410560280140e-02 -1.483293508270e-07 9.399893986375e-09 0.000000000000e+00 0.000000000000e+00 9.994032146658e-06 1.007090887028e+152
1.460580290145e-02 -1.483245656949e-07 9.732973212015e-09 0.000000000000e+00 0.000000000000e+00 9.993601480835e-06 1.007090887028e+152
1.510600300150e-02 -1.483196139631e-07 1.006602611750e-08 0.000000000000e+00 0.000000000000e+00 9.993155822219e-06 1.007090887028e+152
1.560620310155e-02 -1.483144956449e-07 1.039905180595e-08 0.000000000000e+00 0.000000000000e+00 9.992695172148e-06 1.007090887028e+152
1.610640320160e-02 -1.483092107542e-07 1.073204938016e-08 0.000000000000e+00 0.000000000000e+00 9.992219532006e-06 1.007090887028e+152
1.660660330165e-02 -1.483037593054e-07 1.106501794266e-08 0.000000000000e+00 0.000000000000e+00 9.991728903220e-06 1.007090887028e+152
1.710680340170e-02 -1.482981413131e-07 1.139795659582e-08 0.000000000000e+00 0.000000000000e+00 9.991223287264e-06 1.007090887028e+152
1.760700350175e-02 -1.482923567925e-07 1.173086444187e-08 0.000000000000e+00 0.000000000000e+00 9.990702685655e-06 1.007090887028e+152
1.810720360180e-02 -1.482864057592e-07 1.206374058292e-08 0.000000000000e+00 0.000000000000e+00 9.990167099958e-06 1.007090887028e+152
1.860740370185e-02 -1.482802882294e-07 1.239658412106e-08 0.000000000000e+00 0.000000000000e+00 9.989616531779e-06 1.007090887028e+152
1.910760380190e-02 -1.482740042196e-07 1.272939415835e-08 0.000000000000e+00 0.000000000000e+00 9.989050982774e-06 1.007090887028e+152
1.960780390195e-02 -1.482675537467e-07 1.306216979682e-08 0.000000000000e+00 0.000000000000e+00 9.988470454639e-06 1.007090887028e+152
2.010800400200e-02 -1.482609368282e-07 1.339491013856e-08 0.000000000000e+00 0.000000000000e+00 9.987874949117e-06 1.007090887028e+152
2.060820410205e-02 -1.482541534819e-07 1.372761428566e-08 0.000000000000e+00 0.000000000000e+00 9.987264467998e-06 1.007090887028e+152
