# chi_s   E_scan   ok(1/0)
0.000000000000e+00 6.385012790905e-06 1
1.000000000000e-11 6.385012790824e-06 1
2.000000000000e-11 6.385012790775e-06 1
3.000000000000e-11 6.385012790747e-06 1
4.000000000000e-11 6.385012790733e-06 1
5.000000000000e-11 6.385012790729e-06 1
6.000000000000e-11 6.385012790730e-06 1
7.000000000000e-11 6.385012790735e-06 1
8.000000000000e-11 6.385012790742e-06 1
9.000000000000e-11 6.385012790752e-06 1
1.000000000000e-10 6.385012790762e-06 1
1.100000000000e-10 6.385012790774e-06 1
1.200000000000e-10 6.385012790785e-06 1
1.300000000000e-10 6.385012790799e-06 1
1.400000000000e-10 6.385012790811e-06 1
1.500000000000e-10 6.385012790871e-06 1
1.600000000000e-10 6.385012790834e-06 1
1.700000000000e-10 6.385012791383e-06 1
1.800000000000e-10 6.385012790858e-06 1
1.900000000000e-10 6.385012790872e-06 1
2.000000000000e-10 6.385012790885e-06 1
2.100000000000e-10 6.385012790898e-06 1
2.200000000000e-10 6.385012790909e-06 1
2.300000000000e-10 6.385012790926e-06 1
2.400000000000e-10 6.385012790938e-06 1
2.500000000000e-10 6.385012791752e-06 1
2.600000000000e-10 6.385012790960e-06 1
2.700000000000e-10 6.385012790973e-06 1
2.800000000000e-10 6.385012790987e-06 1
2.900000000000e-10 6.385012791000e-06 1
3.000000000000e-10 6.385012791013e-06 1
3.100000000000e-10 6.385012791016e-06 1
3.200000000000e-10 6.385012791033e-06 1
3.300000000000e-10 6.385012791048e-06 1
3.400000000000e-10 6.385012791062e-06 1
3.500000000000e-10 6.385012791079e-06 1
3.600000000000e-10 6.385012791092e-06 1
3.700000000000e-10 6.385012791104e-06 1
3.800000000000e-10 6.385012791116e-06 1
3.900000000000e-10 6.385012793401e-06 1
4.000000000000e-10 6.385012791149e-06 1
4.100000000000e-10 6.385012791159e-06 1
4.200000000000e-10 6.385012791175e-06 1
4.300000000000e-10 6.385012791184e-06 1
4.400000000000e-10 6.385012792353e-06 1
4.500000000000e-10 6.385012792275e-06 1
4.600000000000e-10 6.385012791222e-06 1
4.700000000000e-10 6.385012791233e-06 1
4.800000000000e-10 6.385012791244e-06 1
4.900000000000e-10 6.385012792162e-06 1
5.000000000000e-10 6.385012791260e-06 1
5.100000000000e-10 6.385012791290e-06 1
5.200000000000e-10 6.385012791294e-06 1
5.300000000000e-10 6.385012791302e-06 1
5.400000000000e-10 6.385012791317e-06 1
5.500000000000e-10 6.385012791328e-06 1
5.600000000000e-10 6.385012791332e-06 1
5.700000000000e-10 6.385012791350e-06 1
5.800000000000e-10 6.385012791366e-06 1
5.900000000000e-10 6.385012791380e-06 1
6.000000000000e-10 6.385012791394e-06 1
6.100000000000e-10 6.385012791393e-06 1
6.200000000000e-10 6.385012791413e-06 1
6.300000000000e-10 6.385012791429e-06 1
6.400000000000e-10 6.385012791444e-06 1
6.500000000000e-10 6.385012791458e-06 1
6.600000000000e-10 6.385012791478e-06 1
6.700000000000e-10 6.385012791549e-06 1
