# r  chi  chi_prime  a  a_prime  rho  W
1.000000000000e-04 -8.540680029265e-08 4.371935996789e-27 0.000000000000e+00 0.000000000000e+00 9.999999700000e-06 1.007090887028e+152
6.002001000500e-04 -8.540669107721e-08 3.982625980346e-10 0.000000000000e+00 0.000000000000e+00 9.999989192799e-06 1.007090887028e+152
1.100400200100e-03 -8.540640805261e-08 7.330113033766e-10 0.000000000000e+00 0.000000000000e+00 9.999963673626e-06 1.007090887028e+152
1.600600300150e-03 -8.540595791923e-08 1.066748364291e-09 0.000000000000e+00 0.000000000000e+00 9.999923142557e-06 1.007090887028e+152
2.100800400200e-03 -8.540534090615e-08 1.400301373382e-09 0.000000000000e+00 0.000000000000e+00 9.999867599715e-06 1.007090887028e+152
2.601000500250e-03 -8.540455706718e-08 1.733793948708e-09 0.000000000000e+00 0.000000000000e+00 9.999797045265e-06 1.007090887028e+152
3.101200600300e-03 -8.540360642291e-08 2.067258551705e-09 0.000000000000e+00 0.000000000000e+00 9.999711479420e-06 1.007090887028e+152
3.601400700350e-03 -8.540248898410e-08 2.400706261879e-09 0.000000000000e+00 0.000000000000e+00 9.999610902437e-06 1.007090887028e+152
4.101600800400e-03 -8.540120475797e-08 2.734141339006e-09 0.000000000000e+00 0.000000000000e+00 9.999495314617e-06 1.007090887028e+152
4.601800900450e-03 -8.539975375038e-08 3.067565402110e-09 0.000000000000e+00 0.000000000000e+00 9.999364716308e-06 1.007090887028e+152
5.102001000500e-03 -8.539813596669e-08 3.400978899475e-09 0.000000000000e+00 0.000000000000e+00 9.999219107901e-06 1.007090887028e+152
5.602201100550e-03 -8.539635141219e-08 3.734381705522e-09 0.000000000000e+00 0.000000000000e+00 9.999058489834e-06 1.007090887028e+152
6.102401200600e-03 -8.539440009233e-08 4.067773390638e-09 0.000000000000e+00 0.000000000000e+00 9.998882862590e-06 1.007090887028e+152
6.602601300650e-03 -8.539228201282e-08 4.401153353809e-09 0.000000000000e+00 0.000000000000e+00 9.998692226695e-06 1.007090887028e+152
7.102801400700e-03 -8.538999717970e-08 4.734520892358e-09 0.000000000000e+00 0.000000000000e+00 9.998486582722e-06 1.007090887028e+152
7.603001500750e-03 -8.538754559937e-08 5.067875240699e-09 0.000000000000e+00 0.000000000000e+00 9.998265931288e-06 1.007090887028e+152
8.103201600800e-03 -8.538492727863e-08 5.401215592901e-09 0.000000000000e+00 0.000000000000e+00 9.998030273056e-06 1.007090887028e+152
